nom_site,adresse,cp,idpw,nombre_de_borne_wifi,etat,latitude,longitude
BIBLIOTHEQUE DU CINEMA FRANCOIS TRUFFAUT,14 RUE DES PROUVAIRES,75001,PW0112,1,Opérationnel,48.86148891058232,2.344154109508664
MEDIATHEQUE LA CANOPEE LA FONTAINE,10 PASSAGE DE LA CANOPEE,75001,PW0143,5,Opérationnel,48.86181948548021,2.347643903283827
PREFOURRIERE LOUVRE,1 PLACE DU LOUVRE,75001,PW0227,1,Opérationnel,48.85932482275742,2.340738421116781
BERGES RIVE DROITE - PONT AU CHANGE,BERGE DE SEINE RIVE DROITE - VIA FERRATA,75001,PW0158,1,Opérationnel,48.85751278386862,2.346563042652778
BERGES RIVE DROITE - PONT NEUF,BERGE DE SEINE RIVE DROITE - SORTIE TUNNEL TUILERIES,75001,PW0149,1,Opérationnel,48.85937332543367,2.3358223560544475
QUARTIER JEUNES,4 PLACE DU LOUVRE,75001,PW0127,19,Opérationnel,48.86008352657211,2.341064476164005
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE  1,5B RUE DU LOUVRE,75001,PW0148,2,Opérationnel,48.86188336150229,2.341156755003171
BERGES RIVE DROITE - PONT AU CHANGE,BERGE DE SEINE RIVE DROITE - SORTIE CHATELET,75001,PW0193,1,Opérationnel,48.85742785373787,2.3470199244719736
JARDIN NELSON MANDELA,32 RUE BERGER,75001,PW0110,2,Opérationnel,48.861469422154464,2.346303724007311
MEDIATHEQUE MUSICALE DE PARIS (HALLES),8 PORTE SAINT EUSTACHE,75001,PW0020,2,Opérationnel,48.862650133028886,2.345916105005209
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE 2,23 RUE GRENETA,75002,PW0036,1,Opérationnel,48.8650814049341,2.35054940319118
CENTRE SPORTIF JEAN DAME,17 RUE LEOPOLD BELLAN,75002,PW0082,1,Opérationnel,48.86656834849908,2.345506505320458
MAIRIE DU 2 EME,8 RUE DE LA BANQUE,75002,PW0034,1,Opérationnel,48.86683452754676,2.3404507998913706
BIBLIOTHEQUE CHARLOTTE DELBO,2 PASSAGE DES PETITS PERES,75002,PW0134,2,Opérationnel,48.866507580054055,2.3404344914894324
BIBLIOTHEQUE MARGUERITE AUDOUX,8-12 RUE PORTEFOIN,75003,PW0044,2,Opérationnel,48.86376892355014,2.359846256600825
MAISON DES INITIATIVES ETUDIANTES,50 RUE DES TOURNELLES,75003,PW0070,10,Opérationnel,48.856221957138,2.3673918201295203
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE 3/4,3 RUE EUGENE SPULLER,75003,PW0019-1,1,Opérationnel,48.86402504205693,2.362186544891377
MUSEE CARNAVALET,27 RUE DE SEVIGNE,75003,PW0233,19,Opérationnel,48.85754315834628,2.362975092932358
BOURSE DU TRAVAIL ANNEXE CHARLOT,85 RUE CHARLOT,75003,PW0220,1,Opérationnel,48.86514825320897,2.365108017746905
BOURSE DU TRAVAIL ANNEXE TURBIGO,67 RUE TURBIGO,75003,PW0219,1,Opérationnel,48.8660165781331,2.358004775693509
MAIRIE DU CENTRE,2 RUE EUGENE SPULLER,75003,PW0019,2,Opérationnel,48.863992026300004,2.361531961565592
MUSEE COGNACQ-JAY,8 RUE ELZEVIR,75003,PW0251,14,Opérationnel,48.85817283984133,2.3614603612016785
HOTEL DE VILLE PARVIS RIVOLI,4 PLACE DE L HOTEL DE VILLE,75004,PW0123-1,1,Opérationnel,48.85705185006894,2.352351724212448
HOTEL DE VILLE RDC,4 PLACE DE L'HOTEL DE VILLE,75004,PW0122-1,4,Opérationnel,48.85638968298792,2.352388267005781
BIBLIOTHEQUE FORNEY,1 RUE DU FIGUIER,75004,PW0050,4,Opérationnel,48.85342353398947,2.3591792372689597
BERGES RIVE DROITE - PONT NOTRE DAME,BERGE DE SEINE RIVE DROITE -  QUAI DE GESVRES 2,75004,PW0181,1,Opérationnel,48.85668757090017,2.3489230003257022
BERGES RIVE DROITE - LES NAUTES,BERGE DE SEINE RIVE DROITE - 5 QUAI DES CELESTINS,75004,PW0150,1,Opérationnel,48.8523533398358,2.360310974496217
HOTEL DE VILLE 4EME,4 PLACE DE L'HOTEL DE VILLE,75004,PW0122-5,6,Opérationnel,48.85686653543353,2.35317182327921
BIBLIOTHEQUE ARTHUR RIMBAUD,2 PLACE BAUDOYER,75004,PW0132-2,2,Opérationnel,48.85613837361523,2.3559375242406873
